x,y
1000,3.41469709e-06
1258.92541,3.04335316e-06
1584.89319,2.71239267e-06
1995.26231,2.41742399e-06
2511.88643,2.15453305e-06
3162.27766,1.92023146e-06
3981.07171,1.71141017e-06
5011.87234,1.52529826e-06
6309.57344,1.35942613e-06
7943.28235,1.21159275e-06
10000,1.07983648e-06
12589.2541,9.62408981e-07
15848.9319,8.57752063e-07
19952.6231,7.64476994e-07
25118.8643,6.8134607e-07
31622.7766,6.07256195e-07
39810.7171,5.41224241e-07
50118.7234,4.82374003e-07
63095.7344,4.29924575e-07
79432.8235,3.83179984e-07
100000,3.41519959e-07
125892.541,3.04391696e-07
158489.319,2.71302525e-07
199526.231,2.41813373e-07
251188.643,2.15532937e-07
316227.766,1.9211249e-07
398107.171,1.71241256e-07
501187.234,1.52642287e-07
630957.344,1.36068784e-07
794328.235,1.21300825e-07
1000000,1.08142445e-07
1258925.41,9.64190361e-08
1584893.19,8.59750317e-08
1995262.31,7.66718384e-08
2511886.43,6.83859981e-08
3162277.66,6.10075481e-08
3981071.71,5.44385603e-08
5011872.34,4.85918393e-08
6309573.44,4.33897622e-08
7943282.35,3.87632438e-08
10000000,3.46508137e-08
12589254.1,3.0997792e-08
15848931.9,2.77555519e-08
19952623.1,2.48808588e-08
25118864.3,2.23352754e-08
31622776.6,2.00846245e-08
39810717.1,1.80985008e-08
50118723.4,1.63498235e-08
63095734.4,1.48144249e-08
79432823.5,1.34706696e-08
100000000,1.22991022e-08
125892541,1.12821241e-08
158489319,1.04037044e-08
199526231,9.64912895e-09
251188643,9.00479856e-09
316227766,8.45807975e-09
398107171,7.99721234e-09
501187234,7.61126835e-09
630957344,7.29015112e-09
794328235,7.02461778e-09
1000000000,6.80630675e-09
