x,y
1000,5.29672195e-09
1258.92541,5.29672195e-09
1584.89319,5.29672195e-09
1995.26231,5.29672195e-09
2511.88643,5.29672195e-09
3162.27766,5.29672195e-09
3981.07171,5.29672195e-09
5011.87234,5.29672195e-09
6309.57344,5.29672195e-09
7943.28235,5.29672195e-09
10000,5.29672195e-09
12589.2541,5.29672195e-09
15848.9319,5.29672195e-09
19952.6231,5.29672195e-09
25118.8643,5.29672195e-09
31622.7766,5.29672195e-09
39810.7171,5.29672195e-09
50118.7234,5.29672195e-09
63095.7344,5.29672195e-09
79432.8235,5.29672195e-09
100000,5.29672195e-09
125892.541,5.29672195e-09
158489.319,5.29672195e-09
199526.231,5.29672195e-09
251188.643,5.29672195e-09
316227.766,5.29672195e-09
398107.171,5.29672195e-09
501187.234,5.29672195e-09
630957.344,5.29672195e-09
794328.235,5.29672195e-09
1000000,5.29672195e-09
1258925.41,5.29672195e-09
1584893.19,5.29672195e-09
1995262.31,5.29672195e-09
2511886.43,5.29672195e-09
3162277.66,5.29672195e-09
3981071.71,5.29672194e-09
5011872.34,5.29672193e-09
6309573.44,5.29672192e-09
7943282.35,5.2967219e-09
10000000,5.29672186e-09
12589254.1,5.29672181e-09
15848931.9,5.29672173e-09
19952623.1,5.2967216e-09
25118864.3,5.29672139e-09
31622776.6,5.29672105e-09
39810717.1,5.29672053e-09
50118723.4,5.29671969e-09
63095734.4,5.29671837e-09
79432823.5,5.29671627e-09
100000000,5.29671295e-09
125892541,5.29670768e-09
158489319,5.29669934e-09
199526231,5.29668611e-09
251188643,5.29666514e-09
316227766,5.29663191e-09
398107171,5.29657924e-09
501187234,5.29649578e-09
630957344,5.2963635e-09
794328235,5.29615388e-09
1000000000,5.29582169e-09
