x,y
1000,4.57282176e-06
1258.92541,4.07553256e-06
1584.89319,3.63232319e-06
1995.26231,3.23731254e-06
2511.88643,2.88525906e-06
3162.27766,2.57149122e-06
3981.07171,2.29184551e-06
5011.87234,2.04261119e-06
6309.57344,1.82048108e-06
7943.28235,1.62250765e-06
10000,1.44606391e-06
12589.2541,1.28880856e-06
15848.9319,1.14865492e-06
19952.6231,1.02374323e-06
25118.8643,9.12415989e-07
31622.7766,8.13195955e-07
39810.7171,7.24766537e-07
50118.7234,6.4595433e-07
63095.7344,5.75713546e-07
79432.8235,5.1311213e-07
100000,4.573194e-07
125892.541,4.0759502e-07
158489.319,3.63279179e-07
199526.231,3.23783831e-07
251188.643,2.88584898e-07
316227.766,2.5721531e-07
398107.171,2.29258812e-07
501187.234,2.04344438e-07
630957.344,1.82141589e-07
794328.235,1.62355645e-07
1000000,1.44724058e-07
1258925.41,1.29012866e-07
1584893.19,1.1501359e-07
1995262.31,1.02540463e-07
2511886.43,9.14279714e-08
3162277.66,8.15286526e-08
3981071.71,7.27111403e-08
5011872.34,6.48584194e-08
6309573.44,5.78662722e-08
7943282.35,5.16418935e-08
10000000,4.61026564e-08
12589254.1,4.11750118e-08
15848931.9,3.67935077e-08
19952623.1,3.28999131e-08
25118864.3,2.94424356e-08
31622776.6,2.63750211e-08
39810717.1,2.36567243e-08
50118723.4,2.12511426e-08
63095734.4,1.91259025e-08
79432823.5,1.72521914e-08
100000000,1.56043286e-08
125892541,1.41593687e-08
158489319,1.28967346e-08
199526231,1.17978787e-08
251188643,1.0845975e-08
316227766,1.00256466e-08
398107171,9.32273551e-09
501187234,8.72412339e-09
630957344,8.21760738e-09
794328235,7.79183051e-09
1000000000,7.4362595e-09
