vg,id_ref
0.0,1.85784e-13
0.05,7.08536641e-13
0.1,2.70152399e-12
0.15,1.02954894e-11
0.2,3.91995405e-11
0.25,1.48981572e-10
0.3,5.6425991e-10
0.35,2.12309622e-09
0.4,7.89189454e-09
0.45,2.87158362e-08
0.5,1.0098326e-07
0.55,3.38966237e-07
0.6,1.07780126e-06
0.65,3.18521229e-06
0.7,8.23989662e-06
0.75,1.74655995e-05
0.8,3.02530295e-05
0.85,4.50180622e-05
0.9,6.05627002e-05
0.95,7.62643516e-05
1.0,9.18462439e-05
1.05,0.000107188519
1.1,0.000122230494
1.15,0.000136929726
1.2,0.000151247928
1.25,0.000165147701
1.3,0.000178592915
1.35,0.00019154993
1.4,0.000203988695
1.45,0.000215883503
1.5,0.000227213399
1.55,0.000237962331
1.6,0.000248119105
1.65,0.000257677201
1.7,0.000266634508
1.75,0.000274992988
1.8,0.000282758306
