x,y
1000,0.680892999
1258.92541,0.680892999
1584.89319,0.680892999
1995.26231,0.680892999
2511.88643,0.680892999
3162.27766,0.680892999
3981.07171,0.680892999
5011.87234,0.680892999
6309.57344,0.680892999
7943.28235,0.680892999
10000,0.680892999
12589.2541,0.680892999
15848.9319,0.680892999
19952.6231,0.680892999
25118.8643,0.680892999
31622.7766,0.680892999
39810.7171,0.680892999
50118.7234,0.680892999
63095.7344,0.680892999
79432.8235,0.680892999
100000,0.680892999
125892.541,0.680892999
158489.319,0.680892999
199526.231,0.680892999
251188.643,0.680892999
316227.766,0.680892999
398107.171,0.680892999
501187.234,0.680892999
630957.344,0.680892999
794328.235,0.680892999
1000000,0.680892999
1258925.41,0.680892999
1584893.19,0.680892999
1995262.31,0.680892999
2511886.43,0.680893
3162277.66,0.680893
3981071.71,0.680893001
5011872.34,0.680893001
6309573.44,0.680893003
7943282.35,0.680893006
10000000,0.680893009
12589254.1,0.680893016
15848931.9,0.680893025
19952623.1,0.680893041
25118864.3,0.680893065
31622776.6,0.680893104
39810717.1,0.680893166
50118723.4,0.680893264
63095734.4,0.680893419
79432823.5,0.680893665
100000000,0.680894054
125892541,0.680894672
158489319,0.68089565
199526231,0.6808972
251188643,0.680899658
316227766,0.680903553
398107171,0.680909726
501187234,0.680919509
630957344,0.680935014
794328235,0.680959586
1000000000,0.680998527
