vg,id_ref
0,6.38667742e-13
0.05,2.35924456e-12
0.1,8.7120538e-12
0.15,3.21499955e-11
0.2,1.18493111e-10
0.25,4.35675304e-10
0.3,1.59465849e-09
0.35,5.78802361e-09
0.4,2.06947226e-08
0.45,7.2138127e-08
0.5,2.41985273e-07
0.55,7.72758436e-07
0.6,2.33448966e-06
0.65,6.539843e-06
0.7,1.61952719e-05
0.75,3.40972007e-05
0.8,6.1182189e-05
0.85,9.64158298e-05
0.9,0.000138051276
0.95,0.000184550423
1,0.000234802343
1.05,0.000288028641
1.1,0.000343654012
1.15,0.000401220532
1.2,0.000460342871
1.25,0.000520687319
1.3,0.00058196204
1.35,0.000643911803
1.4,0.000706314225
1.45,0.000768976402
1.5,0.00083173167
1.55,0.000894436479
1.6,0.000956967475
1.65,0.00101921884
1.7,0.0010810999
1.75,0.00114253307
1.8,0.00120345201
