vg,id_ref
0,2.26236656e-08
0.05,8.86099461e-08
0.1,3.34676422e-07
0.15,1.19183984e-06
0.2,3.90807691e-06
0.25,1.16048154e-05
0.3,3.07200094e-05
0.35,7.04623315e-05
0.4,0.000136896614
0.45,0.000227854859
0.5,0.000335855004
0.55,0.000453631858
0.6,0.000576370781
0.65,0.000701395686
0.7,0.000827324362
0.75,0.00095345004
0.8,0.00107939786
0.85,0.00120495401
0.9,0.00132998442
0.95,0.00145439638
1,0.00157811989
1.05,0.00170109808
1.1,0.0018232817
1.15,0.00194462566
1.2,0.00206508644
1.25,0.00218461999
1.3,0.00230317988
1.35,0.00242071546
1.4,0.00253717
1.45,0.00265247866
1.5,0.00276656629
