x,y
1000,4.31733785e-06
1258.92541,3.8478322e-06
1584.89319,3.42938493e-06
1995.26231,3.05644353e-06
2511.88643,2.72405927e-06
3162.27766,2.42782162e-06
3981.07171,2.16379969e-06
5011.87234,1.92849007e-06
6309.57344,1.71877033e-06
7943.28235,1.53185764e-06
10000,1.36527177e-06
12589.2541,1.21680222e-06
15848.9319,1.0844789e-06
19952.6231,9.66545959e-07
25118.8643,8.61438493e-07
31622.7766,7.67761793e-07
39810.7171,6.84272824e-07
50118.7234,6.09863741e-07
63095.7344,5.43547179e-07
79432.8235,4.84443157e-07
100000,4.31767402e-07
125892.541,3.84820938e-07
158489.319,3.42980813e-07
199526.231,3.05691835e-07
251188.643,2.72459202e-07
316227.766,2.42841936e-07
398107.171,2.16447035e-07
501187.234,1.92924253e-07
630957.344,1.71961457e-07
794328.235,1.53280482e-07
1000000,1.36633444e-07
1258925.41,1.21799444e-07
1584893.19,1.08581641e-07
1995262.31,9.68046428e-08
2511886.43,8.63121702e-08
3162277.66,7.69649898e-08
3981071.71,6.86390628e-08
5011872.34,6.12238988e-08
6309573.44,5.46210885e-08
7943282.35,4.87429962e-08
10000000,4.35115944e-08
12589254.1,3.88574252e-08
15848931.9,3.47186741e-08
19952623.1,3.10403437e-08
25118864.3,2.77735147e-08
31622776.6,2.48746861e-08
39810717.1,2.23051818e-08
50118723.4,2.0030617e-08
63095734.4,1.80204153e-08
79432823.5,1.6247369e-08
100000000,1.46872363e-08
125892541,1.33183695e-08
158489319,1.21213712e-08
199526231,1.10787764e-08
251188643,1.01747622e-08
316227766,9.39488939e-09
398107171,8.72588221e-09
501187234,8.15545294e-09
630957344,7.67217745e-09
794328235,7.26542163e-09
1000000000,6.92531345e-09
