x,y
1000,1.18454336
1258.92541,1.18454336
1584.89319,1.18454336
1995.26231,1.18454336
2511.88643,1.18454336
3162.27766,1.18454336
3981.07171,1.18454336
5011.87234,1.18454336
6309.57344,1.18454336
7943.28235,1.18454336
10000,1.18454336
12589.2541,1.18454336
15848.9319,1.18454336
19952.6231,1.18454336
25118.8643,1.18454336
31622.7766,1.18454336
39810.7171,1.18454336
50118.7234,1.18454336
63095.7344,1.18454336
79432.8235,1.18454336
100000,1.18454336
125892.541,1.18454336
158489.319,1.18454336
199526.231,1.18454336
251188.643,1.18454336
316227.766,1.18454336
398107.171,1.18454336
501187.234,1.18454336
630957.344,1.18454336
794328.235,1.18454336
1000000,1.18454336
1258925.41,1.18454336
1584893.19,1.18454336
1995262.31,1.18454336
2511886.43,1.18454336
3162277.66,1.18454336
3981071.71,1.18454336
5011872.34,1.18454335
6309573.44,1.18454335
7943282.35,1.18454335
10000000,1.18454335
12589254.1,1.18454335
15848931.9,1.18454335
19952623.1,1.18454334
25118864.3,1.18454334
31622776.6,1.18454333
39810717.1,1.18454331
50118723.4,1.18454328
63095734.4,1.18454324
79432823.5,1.18454317
100000000,1.18454307
125892541,1.1845429
158489319,1.18454263
199526231,1.18454221
251188643,1.18454154
316227766,1.18454047
398107171,1.18453878
501187234,1.18453611
630957344,1.18453187
794328235,1.18452515
1000000000,1.1845145
