vg,id_ref
0,7.73424497e-14
0.05,2.75677992e-13
0.1,9.82451263e-13
0.15,3.50008799e-12
0.2,1.24618462e-11
0.25,4.43189925e-11
0.3,1.57279144e-10
0.35,5.55951483e-10
0.4,1.95108775e-09
0.45,6.76074815e-09
0.5,2.29353099e-08
0.55,7.53657419e-08
0.6,2.37813125e-07
0.65,7.17946335e-07
0.7,2.04189533e-06
0.75,5.18299113e-06
0.8,1.09943196e-05
0.85,1.92482183e-05
0.9,2.90105629e-05
0.95,3.95006799e-05
1,5.02770612e-05
1.05,6.11270692e-05
1.1,7.19531914e-05
1.15,8.27062098e-05
1.2,9.33535767e-05
1.25,0.000103866724
1.3,0.000114217029
1.35,0.000124375257
1.4,0.000134312157
1.45,0.000143999289
1.5,0.000153409758
1.55,0.00016251877
1.6,0.000171304028
1.65,0.000179745982
1.7,0.000187827979
1.75,0.000195536319
1.8,0.000202860253
