x,y
1000,3.64856814e-06
1258.92541,3.25179013e-06
1584.89319,2.89816139e-06
1995.26231,2.5829895e-06
2511.88643,2.30209231e-06
3162.27766,2.05174248e-06
3981.07171,1.82861803e-06
5011.87234,1.62975823e-06
6309.57344,1.45252433e-06
7943.28235,1.29456455e-06
10000,1.15378285e-06
12589.2541,1.02831115e-06
15848.9319,9.16484508e-07
19952.6231,8.16819064e-07
25118.8643,7.27992312e-07
31622.7766,6.48825576e-07
39810.7171,5.78268361e-07
50118.7234,5.15384416e-07
63095.7344,4.59339308e-07
79432.8235,4.09389355e-07
100000,3.64871749e-07
125892.541,3.2519577e-07
158489.319,2.89834941e-07
199526.231,2.58320046e-07
251188.643,2.302329e-07
316227.766,2.05200805e-07
398107.171,1.828916e-07
501187.234,1.63009255e-07
630957.344,1.45289944e-07
794328.235,1.29498541e-07
1000000,1.15425504e-07
1258925.41,1.02884093e-07
1584893.19,9.17078893e-08
1995262.31,8.17485917e-08
2511886.43,7.28740453e-08
3162277.66,6.4966489e-08
3981071.71,5.79209926e-08
5011872.34,5.16440643e-08
6309573.44,4.60524095e-08
7943282.35,4.10718256e-08
10000000,3.66362164e-08
12589254.1,3.26867145e-08
15848931.9,2.91708989e-08
19952623.1,2.60420981e-08
25118864.3,2.32587681e-08
31622776.6,2.07839388e-08
39810717.1,1.8584719e-08
50118723.4,1.66318543e-08
63095734.4,1.48993315e-08
79432823.5,1.33640233e-08
100000000,1.20053681e-08
125892541,1.08050798e-08
158489319,9.74688388e-09
199526231,8.81627393e-09
251188643,8.00028825e-09
316227766,7.28730212e-09
398107171,6.66683653e-09
501187234,6.12938397e-09
630957344,5.66625455e-09
794328235,5.26944621e-09
1000000000,4.93154349e-09
