x,y
1000,1.15481028
1258.92541,1.15481028
1584.89319,1.15481028
1995.26231,1.15481028
2511.88643,1.15481028
3162.27766,1.15481028
3981.07171,1.15481028
5011.87234,1.15481028
6309.57344,1.15481028
7943.28235,1.15481028
10000,1.15481028
12589.2541,1.15481028
15848.9319,1.15481028
19952.6231,1.15481028
25118.8643,1.15481028
31622.7766,1.15481028
39810.7171,1.15481028
50118.7234,1.15481028
63095.7344,1.15481028
79432.8235,1.15481028
100000,1.15481028
125892.541,1.15481028
158489.319,1.15481028
199526.231,1.15481028
251188.643,1.15481028
316227.766,1.15481028
398107.171,1.15481028
501187.234,1.15481028
630957.344,1.15481028
794328.235,1.15481028
1000000,1.15481028
1258925.41,1.15481028
1584893.19,1.15481028
1995262.31,1.15481028
2511886.43,1.15481028
3162277.66,1.15481028
3981071.71,1.15481028
5011872.34,1.15481028
6309573.44,1.15481028
7943282.35,1.15481028
10000000,1.15481028
12589254.1,1.15481028
15848931.9,1.15481028
19952623.1,1.15481027
25118864.3,1.15481027
31622776.6,1.15481027
39810717.1,1.15481027
50118723.4,1.15481026
63095734.4,1.15481025
79432823.5,1.15481023
100000000,1.1548102
125892541,1.15481016
158489319,1.15481009
199526231,1.15480998
251188643,1.15480981
316227766,1.15480954
398107171,1.1548091
501187234,1.15480841
630957344,1.15480733
794328235,1.1548056
1000000000,1.15480286
