x,y
1000,0.612495368
1258.92541,0.612495368
1584.89319,0.612495368
1995.26231,0.612495368
2511.88643,0.612495368
3162.27766,0.612495368
3981.07171,0.612495368
5011.87234,0.612495368
6309.57344,0.612495368
7943.28235,0.612495368
10000,0.612495368
12589.2541,0.612495368
15848.9319,0.612495368
19952.6231,0.612495368
25118.8643,0.612495368
31622.7766,0.612495368
39810.7171,0.612495368
50118.7234,0.612495368
63095.7344,0.612495368
79432.8235,0.612495368
100000,0.612495368
125892.541,0.612495368
158489.319,0.612495368
199526.231,0.612495368
251188.643,0.612495368
316227.766,0.612495368
398107.171,0.612495368
501187.234,0.612495368
630957.344,0.612495368
794328.235,0.612495368
1000000,0.612495368
1258925.41,0.612495368
1584893.19,0.612495368
1995262.31,0.612495368
2511886.43,0.612495368
3162277.66,0.612495369
3981071.71,0.612495369
5011872.34,0.61249537
6309573.44,0.612495371
7943282.35,0.612495373
10000000,0.612495375
12589254.1,0.612495379
15848931.9,0.612495386
19952623.1,0.612495397
25118864.3,0.612495414
31622776.6,0.61249544
39810717.1,0.612495483
50118723.4,0.61249555
63095734.4,0.612495656
79432823.5,0.612495824
100000000,0.612496091
125892541,0.612496514
158489319,0.612497185
199526231,0.612498248
251188643,0.612499932
316227766,0.612502601
398107171,0.612506832
501187234,0.612513537
630957344,0.612524163
794328235,0.612541002
1000000000,0.612567685
