x,y
1000,1.33679785
1258.92541,1.33679785
1584.89319,1.33679785
1995.26231,1.33679785
2511.88643,1.33679785
3162.27766,1.33679785
3981.07171,1.33679785
5011.87234,1.33679785
6309.57344,1.33679785
7943.28235,1.33679785
10000,1.33679785
12589.2541,1.33679785
15848.9319,1.33679785
19952.6231,1.33679785
25118.8643,1.33679785
31622.7766,1.33679785
39810.7171,1.33679785
50118.7234,1.33679785
63095.7344,1.33679785
79432.8235,1.33679785
100000,1.33679785
125892.541,1.33679785
158489.319,1.33679785
199526.231,1.33679785
251188.643,1.33679785
316227.766,1.33679785
398107.171,1.33679785
501187.234,1.33679785
630957.344,1.33679785
794328.235,1.33679785
1000000,1.33679785
1258925.41,1.33679785
1584893.19,1.33679785
1995262.31,1.33679785
2511886.43,1.33679785
3162277.66,1.33679785
3981071.71,1.33679785
5011872.34,1.33679785
6309573.44,1.33679784
7943282.35,1.33679784
10000000,1.33679783
12589254.1,1.33679782
15848931.9,1.3367978
19952623.1,1.33679777
25118864.3,1.33679773
31622776.6,1.33679765
39810717.1,1.33679753
50118723.4,1.33679735
63095734.4,1.33679705
79432823.5,1.33679659
100000000,1.33679585
125892541,1.33679467
158489319,1.33679281
199526231,1.33678987
251188643,1.33678519
316227766,1.33677779
398107171,1.33676606
501187234,1.33674746
630957344,1.33671799
794328235,1.33667128
1000000000,1.33659727
