x,y
1000,6.25701175e-06
1258.92541,5.57656826e-06
1584.89319,4.97012244e-06
1995.26231,4.42962713e-06
2511.88643,3.94791028e-06
3162.27766,3.5185798e-06
3981.07171,3.13593874e-06
5011.87234,2.79490968e-06
6309.57344,2.49096737e-06
7943.28235,2.22007869e-06
10000,1.9786491e-06
12589.2541,1.76347498e-06
15848.9319,1.57170111e-06
19952.6231,1.40078275e-06
25118.8643,1.24845193e-06
31622.7766,1.11268731e-06
39810.7171,9.91687372e-07
50118.7234,8.83846523e-07
63095.7344,7.87733781e-07
79432.8235,7.02073787e-07
100000,6.25729886e-07
125892.541,5.5768904e-07
158489.319,4.97048389e-07
199526.231,4.43003268e-07
251188.643,3.94836531e-07
316227.766,3.51909034e-07
398107.171,3.13651156e-07
501187.234,2.79555238e-07
630957.344,2.49168848e-07
794328.235,2.22088775e-07
1000000,1.97955684e-07
1258925.41,1.76449342e-07
1584893.19,1.57284372e-07
1995262.31,1.40206466e-07
2511886.43,1.24989008e-07
3162277.66,1.1143007e-07
3981071.71,9.93497279e-08
5011872.34,8.85876783e-08
6309573.44,7.90011081e-08
7943282.35,7.04627987e-08
10000000,6.28594374e-08
12589254.1,5.60901116e-08
15848931.9,5.00649674e-08
19952623.1,4.47040143e-08
25118864.3,3.99360586e-08
31622776.6,3.56977532e-08
39810717.1,3.19327472e-08
50118723.4,2.85909276e-08
63095734.4,2.56277374e-08
79432823.5,2.3003564e-08
100000000,2.06831855e-08
125892541,1.86352684e-08
158489319,1.68319079e-08
199526231,1.52482042e-08
251188643,1.38618711e-08
316227766,1.26528738e-08
398107171,1.16030957e-08
501187234,1.06960398e-08
630957344,9.91656905e-09
794328235,9.25069489e-09
1000000000,8.68541964e-09
