vg,id_ref
0.0,1.62308194e-13
0.05,5.69721954e-13
0.1,1.99938924e-12
0.15,7.01403295e-12
0.2,2.45885482e-11
0.25,8.60854937e-11
0.3,3.00659627e-10
0.35,1.04541701e-09
0.4,3.60596542e-09
0.45,1.22651513e-08
0.5,4.07681334e-08
0.55,1.30963741e-07
0.6,4.03033746e-07
0.65,1.18394041e-06
0.7,3.27910913e-06
0.75,8.23481002e-06
0.8,1.79796359e-05
0.85,3.38055174e-05
0.9,5.58501132e-05
0.95,8.35021711e-05
1.0,0.000115984444
1.05,0.000152634121
1.1,0.000192938725
1.15,0.00023648923
1.2,0.000282932506
1.25,0.000331942846
1.3,0.000383209543
1.35,0.000436433679
1.4,0.000491329032
1.45,0.000547624188
1.5,0.000605064489
1.55,0.000663413336
1.6,0.000722452766
1.65,0.000781983425
1.7,0.000841824066
1.75,0.000901810745
1.8,0.000961795817
