x,y
1000,0.970805549
1258.92541,0.970805549
1584.89319,0.970805549
1995.26231,0.970805549
2511.88643,0.970805549
3162.27766,0.970805549
3981.07171,0.970805549
5011.87234,0.970805549
6309.57344,0.970805549
7943.28235,0.970805549
10000,0.970805549
12589.2541,0.970805549
15848.9319,0.970805549
19952.6231,0.970805549
25118.8643,0.970805549
31622.7766,0.970805549
39810.7171,0.970805549
50118.7234,0.970805549
63095.7344,0.970805549
79432.8235,0.970805549
100000,0.970805549
125892.541,0.970805549
158489.319,0.970805549
199526.231,0.970805549
251188.643,0.970805549
316227.766,0.970805549
398107.171,0.970805549
501187.234,0.970805549
630957.344,0.970805549
794328.235,0.970805549
1000000,0.970805549
1258925.41,0.970805549
1584893.19,0.970805549
1995262.31,0.970805549
2511886.43,0.970805549
3162277.66,0.970805549
3981071.71,0.970805549
5011872.34,0.970805549
6309573.44,0.970805549
7943282.35,0.970805549
10000000,0.970805549
12589254.1,0.970805549
15848931.9,0.970805548
19952623.1,0.970805548
25118864.3,0.970805547
31622776.6,0.970805545
39810717.1,0.970805543
50118723.4,0.97080554
63095734.4,0.970805534
79432823.5,0.970805526
100000000,0.970805512
125892541,0.970805491
158489319,0.970805456
199526231,0.970805402
251188643,0.970805316
316227766,0.970805179
398107171,0.970804963
501187234,0.97080462
630957344,0.970804077
794328235,0.970803216
1000000000,0.970801851
